=== MATRIZ RAM (10x6) ===
N	I	D	R	M	T
50	51	33	0	0	1958
61	62	2	0	0	9672
4	5	25	0	0	5352
38	39	49	0	0	4623
10	11	45	0	0	5839
49	50	22	0	0	744
93	94	37	0	0	9262
20	21	36	1	0	7489
24	25	7	0	0	2786
88	89	4	0	0	9662

=== MATRIZ SWAP (100x6) ===
N	I	D	R	M	T
0	1	46	0	0	2140
1	2	42	0	0	7418
2	3	41	0	0	6309
3	4	36	0	0	2036
4	5	25	0	0	5352
5	6	13	0	0	3957
6	7	3	0	0	3801
7	8	47	0	0	626
8	9	47	0	0	4635
9	10	32	0	0	6722
10	11	45	0	0	5839
11	12	45	0	0	3343
12	13	15	0	0	3230
13	14	17	0	0	5700
14	15	31	1	0	5167
15	16	6	0	0	2020
16	17	31	0	0	4672
17	18	43	0	0	9863
18	19	14	0	0	9335
19	20	47	0	0	6902
20	21	36	1	0	7489
21	22	36	0	0	429
22	23	35	0	0	3849
23	24	45	0	0	3166
24	25	7	0	0	2786
25	26	39	1	0	685
26	27	19	0	0	8684
27	28	11	0	0	9360
28	29	11	0	0	7706
29	30	3	0	0	7672
30	31	1	0	0	330
31	32	23	0	0	5553
32	33	32	0	0	3136
33	34	47	0	0	2407
34	35	19	0	0	573
35	36	2	0	0	1903
36	37	1	0	0	8136
37	38	40	0	0	3822
38	39	49	0	0	4623
39	40	6	0	0	1113
40	41	9	0	0	7233
41	42	3	0	0	6193
42	43	11	0	0	9707
43	44	21	0	0	6677
44	45	23	0	0	3705
45	46	46	0	0	1003
46	47	16	0	0	6824
47	48	17	0	0	3607
48	49	50	0	0	4862
49	50	22	0	0	744
50	51	33	0	0	1958
51	52	2	0	0	8481
52	53	13	0	0	9913
53	54	18	0	0	7960
54	55	20	0	0	8286
55	56	38	0	0	6799
56	57	25	0	0	5591
57	58	44	0	0	6971
58	59	18	0	0	2168
59	60	49	0	0	1050
60	61	3	0	0	1026
61	62	2	0	0	9672
62	63	7	0	0	6932
63	64	23	0	0	4318
64	65	35	0	0	2258
65	66	14	0	0	1588
66	67	44	0	0	1432
67	68	31	0	0	7050
68	69	5	0	0	6121
69	70	35	0	0	4646
70	71	13	0	0	4586
71	72	2	0	0	4108
72	73	28	0	0	8153
73	74	19	0	0	5894
74	75	39	0	0	3399
75	76	9	0	0	8447
76	77	11	0	0	5382
77	78	47	0	0	904
78	79	29	1	0	8336
79	80	41	0	0	4751
80	81	44	0	0	7518
81	82	18	0	0	2496
82	83	27	0	0	3345
83	84	32	0	0	3677
84	85	17	0	0	4651
85	86	25	0	0	7937
86	87	19	0	0	2690
87	88	7	0	0	1289
88	89	4	0	0	9662
89	90	17	0	0	271
90	91	47	0	0	2388
91	92	30	0	0	8561
92	93	23	0	0	983
93	94	37	0	0	9262
94	95	2	0	0	2550
95	96	29	0	0	8552
96	97	8	0	0	4657
97	98	49	0	0	5119
98	99	23	0	0	2746
99	100	17	0	0	5866
